country,country_code,year,parameter,value,unit,source
Viet Nam,704,2000,"Drinking water, Available",96.078977300399,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Free of contamination",73.457066800248,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Safely managed service",73.0,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, On premises",88.880101837936,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Unimproved",2.2770787487891,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Free of contamination",36.673336967748,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Available",73.982019904452,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Basic service",76.0,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Limited",0.91080241659999,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Surface water",11.140479029371,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Unimproved",12.000674440556,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, On premises",59.965929182324,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Safely managed service",37.0,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Surface water",8.8257933838191,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Unimproved",9.6306467668515,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, On premises",67.013468556149,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Safely managed service",46.0,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Free of contamination",45.639002606315,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Available",79.367930992965,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Limited",0.96388873272599,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Basic service",81.0,,"WHO, UNICEF"
Brunei Darussalam,96,2001,"Drinking water, On premises",99.781114234493,,"WHO, UNICEF"
Brunei Darussalam,96,2001,"Drinking water, At least basic service",99.900016208937,,"WHO, UNICEF"
Brunei Darussalam,96,2001,"Drinking water, Basic service",100.0,,"WHO, UNICEF"
Brunei Darussalam,96,2001,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Brunei Darussalam,96,2001,"Drinking water, Unimproved",0.0,,"WHO, UNICEF"
Brunei Darussalam,96,2001,"Drinking water, Surface water",0.099983791062905,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Basic service",54.0,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Available",47.179228822042,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Free of contamination",17.445349637652,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Safely managed service",18.0,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, On premises",41.723453498349,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Surface water",24.152722662663,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Unimproved",22.23885135007,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, On premises",34.274695378815,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Surface water",27.267382979298,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Unimproved",25.304516517812,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Safely managed service",11.0,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Free of contamination",10.813606914659,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Basic service",48.0,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Available",41.904237379305,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Surface water",10.614115543378,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Unimproved",8.9132193254298,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, On premises",74.101234968684,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Safely managed service",47.0,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Free of contamination",46.271782450435,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Available",70.108220414686,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Cambodia,116,2001,"Drinking water, Basic service",82.0,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Free of contamination",23.877439493057,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Safely managed service",24.0,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Limited",0.59789472635373,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Basic service",77.0,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, On premises",58.450615621844,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Unimproved",19.468606446443,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Surface water",3.6741830302117,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Available",69.833838638327,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Unimproved",27.197783399495,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Surface water",5.9329981835682,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, On premises",46.43977635828,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Safely managed service",18.0,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Free of contamination",18.12155819099,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Available",60.171594156836,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Limited",0.5258087345955,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Basic service",67.0,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Surface water",0.65329584944845,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Unimproved",9.1317843259657,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, On premises",74.513634040747,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Safely managed service",32.0,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Free of contamination",31.575221938605,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Available",82.755900635283,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Limited",0.69430086184296,,"WHO, UNICEF"
Indonesia,360,2001,"Drinking water, Basic service",90.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Surface water",30.033888939886,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Basic service",42.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Limited",0.77640419507614,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Available",38.722586003101,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Free of contamination",5.9784222612807,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Safely managed service",4.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, On premises",2.1747145121815,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Unimproved",29.371602669971,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, On premises",36.362448136322,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Unimproved",17.457244041799,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Surface water",4.4724284820807,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Free of contamination",21.706424026413,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Safely managed service",17.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Basic service",80.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Limited",0.38493101482912,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Available",76.671736594549,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Basic service",51.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Surface water",24.156541133407,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Unimproved",26.632136893685,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, On premises",10.035500080734,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Safely managed service",7.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Free of contamination",9.5947615042635,,"WHO, UNICEF"
