Indicator,SeriesDescription,GeoAreaName,GeoAreaCode,TimePeriod,Value,Units,Source
6.1.1,"Drinking water, Available",Algeria,12,2000,87.812226380935,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",Algeria,12,2000,3.7311744736065,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",Algeria,12,2000,94,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",Algeria,12,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Available",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Available",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",American Samoa,16,2000,93.671479131234,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",American Samoa,16,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",American Samoa,16,2000,95,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",American Samoa,16,2000,0,,"WHO, UNICEF"
6.1.1,"Drinking water, Available",American Samoa,16,2000,85.950116095497,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",American Samoa,16,2000,93.789675765801,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",American Samoa,16,2000,82,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",American Samoa,16,2000,80.575192305181,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",American Samoa,16,2000,1.2608112589275,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",American Samoa,16,2000,94.932290390162,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",American Samoa,16,2000,0,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",American Samoa,16,2000,5.0677096098385,,"WHO, UNICEF"
