Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaType,GeoAreaName,GeoAreaCode,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Age,Bounds,Frequency,Level_Status,Location,Reporting_Type,Sex,SDG_6_Data_Portal_level
,,6.1.1,,"Drinking water, Available",,Indonesia,360,2000,59.201654886092,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > Rural
,,6.1.1,,"Drinking water, Limited",,Indonesia,360,2000,0.51733293222179,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > Rural
,,6.1.1,,"Drinking water, Basic service",,Indonesia,360,2000,66,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > Rural
,,6.1.1,,"Drinking water, At least basic service",,Indonesia,360,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > Rural
,,6.1.1,,"Drinking water, Basic service",,Indonesia,360,2000,90,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > Urban
,,6.1.1,,"Drinking water, At least basic service",,Indonesia,360,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > Urban
,,6.1.1,,"Drinking water, Limited",,Indonesia,360,2000,0.69110200173715,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > Urban
,,6.1.1,,"Drinking water, Available",,Indonesia,360,2000,82.37461845113,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > Urban
,,6.1.1,,"Drinking water, Free of contamination",,Indonesia,360,2000,31.42974506634,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > Urban
,,6.1.1,,"Drinking water, Safely managed service",,Indonesia,360,2000,31,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > Urban
,,6.1.1,,"Drinking water, On premises",,Indonesia,360,2000,74.170326543418,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > Urban
,,6.1.1,,"Drinking water, Unimproved",,Indonesia,360,2000,9.5190848698128,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > Urban
,,6.1.1,,"Drinking water, Surface water",,Indonesia,360,2000,0.6816435120726,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > Urban
,,6.1.1,,"Drinking water, Surface water",,Indonesia,360,2000,3.8387306006707,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > National
,,6.1.1,,"Drinking water, At least basic service",,Indonesia,360,2000,,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > National
,,6.1.1,,"Drinking water, Basic service",,Indonesia,360,2000,76,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > National
,,6.1.1,,"Drinking water, Limited",,Indonesia,360,2000,0.59031942285641,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > National
,,6.1.1,,"Drinking water, Available",,Indonesia,360,2000,68.934763810376,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > National
,,6.1.1,,"Drinking water, Free of contamination",,Indonesia,360,2000,23.541844431593,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > National
,,6.1.1,,"Drinking water, Safely managed service",,Indonesia,360,2000,24,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > National
,,6.1.1,,"Drinking water, On premises",,Indonesia,360,2000,57.65299652743,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > National
,,6.1.1,,"Drinking water, Unimproved",,Indonesia,360,2000,20.286130818102,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > National
,,6.1.1,,"Drinking water, At least basic service",,Lao People's Democratic Republic,418,2000,,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > National
,,6.1.1,,"Drinking water, Basic service",,Lao People's Democratic Republic,418,2000,48,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > National
,,6.1.1,,"Drinking water, Limited",,Lao People's Democratic Republic,418,2000,0.57025543905824,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > National
,,6.1.1,,"Drinking water, Available",,Lao People's Democratic Republic,418,2000,45.037261950707,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > National
,,6.1.1,,"Drinking water, Free of contamination",,Lao People's Democratic Republic,418,2000,9.0929446237345,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > National
,,6.1.1,,"Drinking water, Safely managed service",,Lao People's Democratic Republic,418,2000,5,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > National
,,6.1.1,,"Drinking water, On premises",,Lao People's Democratic Republic,418,2000,7.444936427531,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > National
,,6.1.1,,"Drinking water, Unimproved",,Lao People's Democratic Republic,418,2000,27.552404525886,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > National
,,6.1.1,,"Drinking water, Surface water",,Lao People's Democratic Republic,418,2000,25.733491829842,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > National
,,6.1.1,,"Drinking water, At least basic service",,Lao People's Democratic Republic,418,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > Rural
,,6.1.1,,"Drinking water, Surface water",,Lao People's Democratic Republic,418,2000,31.651466814562,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > Rural
,,6.1.1,,"Drinking water, Unimproved",,Lao People's Democratic Republic,418,2000,30.16941561851,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > Rural
,,6.1.1,,"Drinking water, On premises",,Lao People's Democratic Republic,418,2000,0.21993570626312,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > Rural
,,6.1.1,,"Drinking water, Safely managed service",,Lao People's Democratic Republic,418,2000,2,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > Rural
,,6.1.1,,"Drinking water, Free of contamination",,Lao People's Democratic Republic,418,2000,5.6227035485813,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > Rural
